out_median_uk,out_25_uk,out_75_uk,new_median_uk,new_25_uk,new_75_uk
1091.5,883.75,1270.75,204,170,249.75
894,723.75,1028,169,135.75,200.25
728,586.5,837.5,134,114.25,166
584,474.75,697,109.5,90.75,133.25
477.5,386.75,560,89,69.75,104.5
389,315.25,459,71.5,58,86.25
315,256.75,370.25,58.5,45,72.25
258,206.75,307.5,47,37.75,55.25
212.5,170,246,38,30,48.25
170,136,198.25,31,25,37.25
138.5,112,164,26,20,33
113,92.5,130,21,16,26
92,74,108,17,12.75,21
74,61,89.25,14,9,17
61.5,49.75,75.25,12,8.75,16
50,38,61,9,6,11
41,33.75,49,7,5,10
33,26,41,6,4,8
27,21.75,33,5,3,6
22,17,27,4,2,5.25
17.5,14,22,3,2,5
14,11,19,3,1.75,4
12,9,16,2,1,3.25
9.5,7,12.25,1,1,2
8,6,11,1,1,2
6,4,9,1,1,2
5,3,7,1,0,1.25
4,3,6,1,0,1
3,2,5,0,0,1
3,2,4,0,0,1
2,1,4,0,0,1
2,1,3,0,0,1
2,1,2,0,0,1
1,0,2,0,0,0
1,0,2,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
