out_median_us,out_25_us,out_75_us,new_median_us,new_25_us,new_75_us
228381.5,208654.75,247176.75,42260,38632.75,45931.5
224254.5,204932,242752,41482.5,37701.25,44854.75
220262,201248.25,238317,40700,37183.5,43941.25
216426.5,197720.5,234207.75,39669,36610,43210.5
212816,194465.75,230574,39326.5,35845.25,42469.25
209707.5,191497.25,226921.5,38601.5,35219.5,41689.75
206733,188835,223771,38030,34774.75,41333
203981,186386.5,220948,37535,34330.75,40612.5
201323.5,184168.75,218139,37278,34018.25,40414
198789.5,181801.25,215611.5,36701.5,33777.5,40053
196517.5,179717.25,213251.25,36452,33271.5,39621.25
194431.5,177837.75,211026.25,36010,32947.5,39258
192470,176038,208755.5,35778,32720.75,38808
190628,174363.5,206684.75,35566.5,32613,38631
188849.5,172735.25,204615.75,35062,32148.25,38240.5
186911.5,171010.25,202630.5,34838,31907,37984.75
185012.5,169258.75,200404,34528,31575,37409.5
182797.5,167217.75,198306.25,34188,31234.5,37169.25
180454,165113.75,195788,33676.5,30915.25,36526.75
178221.5,163192.75,193485.5,33036,30162.25,35864
176435.5,161568.5,191469.25,32632.5,30044,35490.25
174953,160221,189762.5,32329,29645,35167.25
173683,159218.5,188504.5,32267,29457,34973
173099,158498,187764.25,32146,29504.75,34863.5
172729,158183.25,187437.25,32172,29642.25,35145.75
172548,157999.75,187209.25,32476,29609,35161
172634.5,158156.25,187346,32407,29798.75,35367.5
172845.5,158463.75,187785.75,32639.5,29782.75,35397.25
173216,159043.75,188477,32827.5,30084.75,35653
152628.5,140225.75,166076.25,32948,30254.25,35964.25
132038,121306.5,143752.75,27880,25745.25,30387
113523.5,104064.75,123417.5,23502.5,21545.75,25530.5
96931.5,88889.5,105322,19656,18026.25,21363.5
82260,75285.5,89437.25,16303.5,14939.5,17791.25
69505,63690,75538.25,13508,12442.25,14713
58501,53668.5,63487.5,11172.5,10283.75,12160.25
49110.5,45013.25,53292.75,9272,8516.25,10122.25
40999,37645.5,44563.5,7708,7022.75,8307.25
34102.5,31366,37171.75,6361,5820,6919.75
28379.5,26096.75,30874,5251.5,4825.75,5655.75
23627,21668.25,25694.5,4310,3961,4668.25
19576,18022.25,21369.75,3579.5,3301,3898.5
16213,14903,17695.5,2933.5,2701.5,3205
13344,12299.5,14611.5,2421,2211.75,2655.75
11012.5,10198.5,12042.5,1994.5,1835.75,2155
9098,8419.5,9966,1642.5,1532.25,1767.5
7527,6918.5,8213.25,1364.5,1259.75,1481.5
6187.5,5677.75,6773.25,1118.5,1023.75,1219.75
5093.5,4703,5568.25,923,850.5,1006.75
4228.5,3871.75,4589.25,756.5,700,824.75
3477.5,3184.25,3796,624.5,577.75,672
2853.5,2633.25,3124.25,511,476.25,566.25
2345,2177.25,2564.5,423.5,385.75,463.25
1930.5,1793.25,2118.75,347,324.75,372.25
1592.5,1462.75,1752.5,288,258,314.25
1302.5,1204.5,1425.5,237,216.75,258
1062.5,990.75,1176,191,177,211.5
879.5,805.5,963.5,161,143,176
725.5,669.5,789.25,127.5,118.75,145.75
601,544.75,654,107,98,120.25
491.5,446.5,538.75,86.5,78,94
405,369.25,438,71.5,64,82.25
328.5,301.75,364.5,59.5,54.75,67
272,248.75,300.25,49,42,56
221,203,248,41,35,45.25
180.5,167,202,32.5,28,37
150,135,167.25,27,22,33
123.5,109.75,137.25,23,18.75,25
102,90,111,18,14,21
83,74,91.25,14,11.75,18
69,61,76.25,12,9,15
57,51,62,9,8,12
47,42,52,8,6.75,10
38.5,34,43,7.5,6,9
31,27,35,5.5,4,7
25,21,29,4,3,5.25
21,18,24,4,3,6
16.5,14,20,2,1,4
15,12,17,3,1,4
12,9,14,2,1,3
9,8,12,2,1,2.25
8,6,9,1,1,2
6,5,8,1,0,2
5,4,7,1,0,1
4,3,6,1,0,1
4,2,5,0,0,1
3,2,4,0,0,1
2,1,3,0,0,1
2,1,3,0,0,1
1,1,2,0,0,1
1,0.75,2,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
